Authority,Forecast API
LGEE,"""EBA.LGEE-ALL.DF.H"""
DOPD,"""EBA.DOPD-ALL.DF.H"""
PACE,"""EBA.PACE-ALL.DF.H"""
AEC,"""EBA.AEC-ALL.DF.H"""
IPCO,"""EBA.IPCO-ALL.DF.H"""
WACM,"""EBA.WACM-ALL.DF.H"""
TEPC,"""EBA.TEPC-ALL.DF.H"""
PGE,"""EBA.PGE-ALL.DF.H"""
TIDC,"""EBA.TIDC-ALL.DF.H"""
BANC,"""EBA.BANC-ALL.DF.H"""
ISNE,"""EBA.ISNE-ALL.DF.H"""
PSCO,"""EBA.PSCO-ALL.DF.H"""
EPE,"""EBA.EPE-ALL.DF.H"""
FMPP,"""EBA.FMPP-ALL.DF.H"""
WWA,"""EBA.WWA-ALL.DF.H"""
HST,"""EBA.HST-ALL.DF.H"""
MISO,"""EBA.MISO-ALL.DF.H"""
WAUW,"""EBA.WAUW-ALL.DF.H"""
CISO,"""EBA.CISO-ALL.DF.H"""
CHPD,"""EBA.CHPD-ALL.DF.H"""
SEC,"""EBA.SEC-ALL.DF.H"""
SRP,"""EBA.SRP-ALL.DF.H"""
FPL,"""EBA.FPL-ALL.DF.H"""
PJM,"""EBA.PJM-ALL.DF.H"""
NEVP,"""EBA.NEVP-ALL.DF.H"""
SCEG,"""EBA.SCEG-ALL.DF.H"""
AECI,"""EBA.AECI-ALL.DF.H"""
EEI,"""EBA.EEI-ALL.DF.H"""
NYIS,"""EBA.NYIS-ALL.DF.H"""
IID,"""EBA.IID-ALL.DF.H"""
PACW,"""EBA.PACW-ALL.DF.H"""
TAL,"""EBA.TAL-ALL.DF.H"""
SOCO,"""EBA.SOCO-ALL.DF.H"""
AVA,"""EBA.AVA-ALL.DF.H"""
WALC,"""EBA.WALC-ALL.DF.H"""
GVL,"""EBA.GVL-ALL.DF.H"""
OVEC,"""EBA.OVEC-ALL.DF.H"""
CPLE,"""EBA.CPLE-ALL.DF.H"""
NSB,"""EBA.NSB-ALL.DF.H"""
CPLW,"""EBA.CPLW-ALL.DF.H"""
SC,"""EBA.SC-ALL.DF.H"""
TPWR,"""EBA.TPWR-ALL.DF.H"""
DUK,"""EBA.DUK-ALL.DF.H"""
AZPS,"""EBA.AZPS-ALL.DF.H"""
JEA,"""EBA.JEA-ALL.DF.H"""
PNM,"""EBA.PNM-ALL.DF.H"""
SCL,"""EBA.SCL-ALL.DF.H"""
NWMT,"""EBA.NWMT-ALL.DF.H"""
GCPD,"""EBA.GCPD-ALL.DF.H"""
SPA,"""EBA.SPA-ALL.DF.H"""
LDWP,"""EBA.LDWP-ALL.DF.H"""
TVA,"""EBA.TVA-ALL.DF.H"""
PSEI,"""EBA.PSEI-ALL.DF.H"""
FPC,"""EBA.FPC-ALL.DF.H"""
BPAT,"""EBA.BPAT-ALL.DF.H"""
SWPP,"""EBA.SWPP-ALL.DF.H"""
TEC,"""EBA.TEC-ALL.DF.H"""
ERCO,"""EBA.ERCO-ALL.DF.H"""
